Year	Author	Title	Data Collected	Neural Network	Task	Publication Name	Volume	Issue	Pages	DOI	Url	Abstract																				
2016	"Dominguez-Morales, J. P.; Rios-Navarro, A.; Dominguez-Morales, M.; Tapiador-Morales, R.; Gutierrez-Galan, D.; Cascado-Caballero, D.; Jimenez-Fernandez, A.; Linares-Barranco, A."	Wireless Sensor Network for Wildlife Tracking and Behavior Classification of Animals in Doñana	Other	DNN	Classification	IEEE Communications Letters	20	12	2534-2537	10.1109/LCOMM.2016.2612652	https://ieeexplore.ieee.org/document/7574341	"The study and monitoring of wildlife has always been a subject of great interest. Studying the behavior of wild animals is a difficult task due to the difficulties of tracking and classifying their actions. Nowadays, technology allows designing low-cost systems that make these tasks easier to carry out, and some of these systems produce good results; however, none of them obtains a high-accuracy classification because of the lack of information. Doñana National Park is a very rich environment with various endangered animal species. Thereby, this park requires a more accurate and efficient system of monitoring to act quickly against animal behaviors that may endanger certain species. In this letter, we propose a hierarchical, wireless sensor network installed in this park, to collect information about animals' behaviors using intelligent devices placed on them which contain a neural network implementation to classify their behavior based on sensory information. Once a behavior is detected, the network redirects this information to an external database for further treatment. This solution reduces power consumption and facilitates animals' behavior monitoring for biologists."																				
2016	"Dyrmann, Mads; Karstoft, Henrik; Midtiby, Henrik Skov"	Plant species classification using deep convolutional neural network	Images	CNN	Classification	Biosystems Engineering	151		72-80	10.1016/j.biosystemseng.2016.08.024	https://www.sciencedirect.com/science/article/pii/S1537511016301465	"Information on which weed species are present within agricultural fields is important for site specific weed management. This paper presents a method that is capable of recognising plant species in colour images by using a convolutional neural network. The network is built from scratch trained and tested on a total of 10,413 images containing 22 weed and crop species at early growth stages. These images originate from six different data sets, which have variations with respect to lighting, resolution, and soil type. This includes images taken under controlled conditions with regard to camera stabilisation and illumination, and images shot with hand-held mobile phones in fields with changing lighting conditions and different soil types. For these 22 species, the network is able to achieve a classification accuracy of 86.2%."																				
2016	"Fu, Min; Tian, Lixin; Dong, Gaogao; Du, Ruijin; Zhou, Peipei; Wang, Minggang"	Modeling on Regional Atmosphere-Soil-Land Plant Carbon Cycle Dynamic System	Environmental	DNN	Modeling	Sustainability	8	4	303	10.3390/su8040303	https://www.mdpi.com/2071-1050/8/4/303	"This paper establishes a nonlinear carbon cycle model based on the analysis of the carbon flux relationship among the atmosphere cycle, soil cycle and land cycle. By using nonlinear dynamics method, we examine the regional carbon cycle evolution along with the temporal evolution of the regional carbon flux. A neural network has been employed to identify the parameters of the proposed model, accordingly. In the numerical study, we propose the atmosphere-soil-land cycle model for Nanjing city of China. Then, the carbon cycle evolution of Nanjing has been simulated with the given model and actual data."																				
2016	"Goëau, Hervé; Glotin, Hervé; Vellinga, Willem-Pier; Planqué, Robert; Joly, Alexis"	LifeCLEF Bird Identification Task 2016: The arrival of Deep learning	Sound	CNN	Classification	CLEF: Conference and Labs of the Evaluation Forum			440-449	NA	https://hal.archives-ouvertes.fr/hal-01373779/document	"The LifeCLEF bird identification challenge provides a largescale testbed for the system-oriented evaluation of bird species identification based on audio recordings. One of its main strength is that the data used for the evaluation is collected through Xeno-Canto, the largest network of bird sound recordists in the world. This makes the task closer to the conditions of a real-world application than previous, similar initiatives. The main novelty of the 2016-th edition of the challenge was the inclusion of soundscape recordings in addition to the usual xeno-canto recordings that focus on a single foreground species. This paper reports the methodology of the conducted evaluation, the overview of the systems experimented by the 6 participating research groups and a synthetic analysis of the obtained results."																				
2016	"Grinblat, Guillermo L.; Uzal, Lucas C.; Larese, Mónica G.; Granitto, Pablo M."	Deep learning for plant identification using vein morphological patterns	Images	CNN	Classification	Computers and Electronics in Agriculture	127		418-424	10.1016/j.compag.2016.07.003	https://www.sciencedirect.com/science/article/pii/S0168169916304665	"We propose using a deep convolutional neural network (CNN) for the problem of plant identification from leaf vein patterns. In particular, we consider classifying three different legume species: white bean, red bean and soybean. The introduction of a CNN avoids the use of handcrafted feature extractors as it is standard in state of the art pipeline. Furthermore, this deep learning approach significantly improves the accuracy of the referred pipeline. We also show that the reported accuracy is reached by increasing the model depth. Finally, by analyzing the resulting models with a simple visualization technique, we are able to unveil relevant vein patterns."																				
2016	"Korin_ek, G.; Derlink, M.; Virant-Doberlet, M.; Tuma, T."	An autonomous system of detecting and attracting leafhopper males using species- and sex-specific substrate borne vibrational signals	Sound	DNN	Classification	Computers and Electronics in Agriculture	123	C	29–39	10.1016/j.compag.2016.02.006	https://linkinghub.elsevier.com/retrieve/pii/S0168169916300291	"Models to automatically detect and indentify leafhopper vibrational male calls were developed.Call features included linear prediction cepstral coefficients.Features were classified by a multilayer perceptron and Gaussian Mixture Model.Autonomous system (AS) also played back female reply and established a duet with the live male.Results showed that AS mimicking a duetting female attracted males to the source. In leafhoppers that are among the most important vectors of plant diseases, mate recognition and location are mediated exclusively by species- and sex-specific vibrational signals exchanged in precisely coordinated duets. These pests are currently managed primarily by insecticide treatments, however, current legislation and consumers' concerns and demands require that the risks and impacts of pesticides be reduced. We present a proof-of-concept low-cost autonomous digital processing system (AS), capable of recognizing the male calls of the leafhopper Aphrodes bicincta ""Dragonja"" and generating female replies. Such a device could be used as a vibrational trap. We chose this species since its duet structure is complex, with the female replies having to appear in short (47-175ms) intervals between continuously repeated elements in the male call in order to trigger male searching behaviour. The AS male call recognition algorithm is based on linear prediction cepstral coefficient (LPCC) feature vectors and a multilayer perceptron classifier (MLP). To prevent the noise-based feature vectors from feeding into the classifier, a bandwidth-limited linear prediction call activity detector based on spectrum peak tracking was designed. We tested the efficiency of the AS in behavioural experiments with live males. The MLP classification method successfully classified vibrational calls of male A. bicincta ""Dragonja"" from background noise. The fast real time identification enabled a synchronized playback of female vibrational reply with latencies as short as 130ms. This mimicking of a duetting female by autonomous system also attracted the males to the source of the female reply. The AS is also a useful tool to enable further studies of vibrational duets that are needed to develop effective alternative control strategies."																				
2016	"Kruk, Andrzej; Ciep_ucha, Micha_; Zi_ba, Grzegorz; Tybulczuk, Szymon; Tszydel, Mariusz; Marsza_, Lidia; B_o_ska, Dagmara; Galicka, Wanda; Przybylski, Miros_aw"	"Recovery of fish fauna in the upper Warta River, Poland: Long-term (1963–2012) monitoring study"	Environmental	DNN	Modeling	Ecological Informatics	33		109-118	10.1016/j.ecoinf.2016.04.006	https://www.sciencedirect.com/science/article/pii/S1574954116300334	"The Warta River (795km long) is the largest, right side tributary of the Odra (Oder) River. The study presents results from one of the best-documented long-term monitoring projects in Poland based on four terms of electrofishing: 1963–66, 1986–88, 1996–98 and 2011–12, conducted in the upper Warta. The Warta River underwent human-induced modifications typical for most European lowland rivers (damming, regulation, water pollution), of which the most destructive for fish was point-source water pollution. In the late 1980s, pollution reached its highest level and stopped increasing as the former political system collapsed and many industrial plants went bankrupt. Surprisingly, recovered fish assemblages were not recorded during the sampling in 1996–98, but in 2011–12. This is why we believe that in large degraded rivers, it takes about 10–20years before a considerable improvement in fish fauna can be observed. Ichthyofauna recovered to a good status, but was qualitatively different compared to the good status observed in the 1960s. On the one hand, in 2011–12, high species richness and high assemblage diversity were observed, and many species, including seven rheophils, were more common than earlier. On the other hand, the populations of catadromous eel and anadromous vimba have not recovered, and these species were absent in the 2011–12 samples. Because water quality has improved, the most important factor seems to be the impact of the Jeziorsko dam reservoir which is located downstream of the study area and has no fish pass. The above patterns were recognised in this paper with a Kohonen artificial neural network, which is a tool methodically correct for analysing complex non-linear relations. Additionally, indicator species analysis allowed for the identification of significant associations of taxa with specific environmental states and was helpful in determination of ecological statuses of the river stretches. We therefore recommend the combined use of Kohonen artificial neural networks and indicator species analysis in long-term monitoring analyses."																				
2016	"Liu, Ziyi; Gao, Junfeng; Yang, Guoguo; Zhang, Huan; He, Yong"	Localization and Classification of Paddy Field Pests using a Saliency Map and Deep Convolutional Neural Network	Images	CNN	Classification	Scientific Reports	6	1	20410	10.1038/srep20410	http://www.nature.com/articles/srep20410	"We present a pipeline for the visual localization and classification of agricultural pest insects by computing a saliency map and applying deep convolutional neural network (DCNN) learning. First, we used a global contrast region-based approach to compute a saliency map for localizing pest insect objects. Bounding squares containing targets were then extracted, resized to a fixed size and used to construct a large standard database called Pest ID. This database was then utilized for self-learning of local image features which were, in turn, used for classification by DCNN. DCNN learning optimized the critical parameters, including size, number and convolutional stride of local receptive fields, dropout ratio and the final loss function. To demonstrate the practical utility of using DCNN, we explored different architectures by shrinking depth and width and found effective sizes that can act as alternatives for practical applications. On the test set of paddy field images, our architectures achieved a mean Accuracy Precision (mAP) of 0.951, a significant improvement over previous methods."																				
2016	"Ma, Jincai; Ibekwe, A. Mark; Yang, Ching-Hong; Crowley, David E."	Bacterial diversity and composition in major fresh produce growing soils affected by physiochemical properties and geographic locations	Environmental	Unknown	Regression	Science of The Total Environment	563-564		199-209	10.1016/j.scitotenv.2016.04.122	https://www.sciencedirect.com/science/article/pii/S0048969716307859	"Microbial diversity of agricultural soils has been well documented, but information on leafy green producing soils is limited. In this study, we investigated microbial diversity and community structures in 32 (16 organic, 16 conventionally managed soils) from California (CA) and Arizona (AZ) using pyrosequencing, and identified factors affecting bacterial composition. Results of detrended correspondence analysis (DCA) and dissimilarity analysis showed that bacterial community structures of conventionally managed soils were similar to that of organically managed soils; while the bacterial community structures in soils from Salinas, California were different (P<0.05) from those in soils from Yuma, Arizona and Imperial Valley, California. Canonical correspondence analysis (CCA) and artificial neural network (ANN) analysis of bacterial community structures and soil variables showed that electrical conductivity (EC), clay content, water-holding capacity (WHC), pH, total nitrogen (TN), and organic carbon (OC) significantly (P<0.05) correlated with microbial communities. CCA based variation partitioning analysis (VPA) showed that soil physical properties (clay, EC, and WHC), soil chemical variables (pH, TN, and OC) and sampling location explained 16.3%, 12.5%, and 50.9%, respectively, of total variations in bacterial community structure, leaving 13% of the total variation unexplained. Our current study showed that bacterial community composition and diversity in major fresh produce growing soils from California and Arizona is a function of soil physiochemical characteristics and geographic distances of sampling sites."																				
2016	"Mohanty, Sharada P.; Hughes, David P.; Salathé, Marcel"	Using Deep Learning for Image-Based Plant Disease Detection	Images	CNN	Classification	Frontiers in Plant Science	7		1419	10.3389/fpls.2016.01419	http://journal.frontiersin.org/article/10.3389/fpls.2016.01419/full	"Crop diseases are a major threat to food security, but their rapid identification remains difficult in many parts of the world due to the lack of the necessary infrastructure. The combination of increasing global smartphone penetration and recent advances in computer vision made possible by deep learning has paved the way for smartphone-assisted disease diagnosis. Using a public dataset of 54,306 images of diseased and healthy plant leaves collected under controlled conditions, we train a deep convolutional neural network to identify 14 crop species and 26 diseases (or absence thereof). The trained model achieves an accuracy of 99.35% on a held-out test set, demonstrating the feasibility of this approach. Overall, the approach of training deep learning models on increasingly large and publicly available image datasets presents a clear path toward smartphone-assisted crop disease diagnosis on a massive global scale."																				
2016	"Sheehan, Sara; Song, Yun S."	Deep Learning for Population Genetic Inference	Molecular	CNN	Classification	PLOS Computational Biology	12	3	e1004845	10.1371/journal.pcbi.1004845	https://dx.plos.org/10.1371/journal.pcbi.1004845	"Given genomic variation data from multiple individuals, computing the likelihood of complex population genetic models is often infeasible. To circumvent this problem, we introduce a novel likelihood-free inference framework by applying deep learning, a powerful modern technique in machine learning. Deep learning makes use of multilayer neural networks to learn a feature-based function from the input (e.g., hundreds of correlated summary statistics of data) to the output (e.g., population genetic parameters of interest). We demonstrate that deep learning can be effectively employed for population genetic inference and learning informative features of data. As a concrete application, we focus on the challenging problem of jointly inferring natural selection and demography (in the form of a population size change history). Our method is able to separate the global nature of demography from the local nature of selection, without sequential steps for these two factors. Studying demography and selection jointly is motivated by Drosophila, where pervasive selection confounds demographic analysis. We apply our method to 197 African Drosophila melanogaster genomes from Zambia to infer both their overall demography, and regions of their genome under selection. We find many regions of the genome that have experienced hard sweeps, and fewer under selection on standing variation (soft sweep) or balancing selection. Interestingly, we find that soft sweeps and balancing selection occur more frequently closer to the centromere of each chromosome. In addition, our demographic inference suggests that previously estimated bottlenecks for African Drosophila melanogaster are too extreme."																				
2016	"Sprengel, Elias; Jaggi, Martin; Kilcher, Yannic; Hofmann, Thomas"	Audio Based Bird Species Identiﬁcation using Deep Learning Techniques	Sound	CNN	Classification	CLEF (Working Notes)				NA	http://ceur-ws.org/Vol-1609/16090547.pdf	"In this paper we present a new audio classification method for bird species identification. Whereas most approaches apply nearest neighbour matching [6] or decision trees [8] using extracted templates for each bird species, ours draws upon techniques from speech recognition and recent advances in the domain of deep learning. With novel preprocessing and data augmentation methods, we train a convolutional neural network on the biggest publicly available dataset [5]. Our network architecture achieves a mean average precision score of 0.686 when predicting the main species of each sound file and scores 0.555 when background species are used as additional prediction targets. As this performance surpasses current state of the art results, our approach won this years international BirdCLEF 2016 Recognition Challenge [3,4,1]."																				
2016	"Turesson, Hjalmar K.; Conceição, Thamiris Botelho Ribeiro; Ribeiro, Sidarta"	Head and gaze tracking of unrestrained marmosets	Video	CNN	Classification	bioRxiv				10.1101/079566	http://biorxiv.org/lookup/doi/10.1101/079566	"New technologies for manipulating and recording the nervous system allow us to perform unprecedented experiments. However, the influence of our experimental manipulations on psychological processes must be inferred from their effects on behavior. Today, quantifying behavior has become the bottleneck for large-scale, high-throughput, experiments. The method presented here addresses this issue by using deep learning algorithms for video-based animal tracking. Here we describe a reliable automatic method for tracking head position and orientation from simple video recordings of the common marmoset ( Callithrix jacchus ). This method for measuring marmoset behavior allows for the estimation of gaze within foveal error, and can easily be adapted to a wide variety of similar tasks in biomedical research. In particular, the method has great potential for the simultaneous tracking of multiple marmosets to quantify social behaviors."																				
2017	"Ali, Shahin S.; Shao, Jonathan; Lary, David J.; Kronmiller, Brent A.; Shen, Danyu; Strem, Mary D.; Amoako-Attah, Ishmael; Akrofi, Andrew Yaw; Begoude, B.A. Didier; ten Hoopen, G. Martijn; Coulibaly, Klotioloma; Kebe, Boubacar Ismaël; Melnick, Rachel L.; Guiltinan, Mark J.; Tyler, Brett M.; Meinhardt, Lyndel W.; Bailey, Bryan A."	"Phytophthora megakarya and Phytophthora palmivora, Closely Related Causal Agents of Cacao Black Pod Rot, Underwent Increases in Genome Sizes and Gene Numbers by Different Mechanisms"	Molecular	DNN	Modeling	Genome Biology and Evolution	9	3	536-557	10.1093/gbe/evx021	https://academic.oup.com/gbe/article/9/3/536/2982378	"Phytophthora megakarya (Pmeg) and Phytophthora palmivora (Ppal) are closely related species causing cacao black pod rot. Although Ppal is a cosmopolitan pathogen, cacao is the only known host of economic importance for Pmeg. Pmeg is more virulent on cacao than Ppal. We sequenced and compared the Pmeg and Ppal genomes and identified virulence-related putative gene models (PGeneM) that may be responsible for their differences in host specificities and virulence. Pmeg and Ppal have estimated genome sizes of 126.88 and 151.23_Mb and PGeneM numbers of 42,036 and 44,327, respectively. The evolutionary histories of Pmeg and Ppal appear quite different. Postspeciation, Ppal underwent whole-genome duplication whereas Pmeg has undergone selective increases in PGeneM numbers, likely through accelerated transposable element-driven duplications. Many PGeneMs in both species failed to match transcripts and may represent pseudogenes or cryptic genetic reservoirs. Pmeg appears to have amplified specific gene families, some of which are virulence-related. Analysis of mycelium, zoospore, and in planta transcriptome expression profiles using neural network self-organizing map analysis generated 24 multivariate and nonlinear self-organizing map classes. Many members of the RxLR, necrosis-inducing phytophthora protein, and pectinase genes families were specifically induced in planta. Pmeg displays a diverse virulence-related gene complement similar in size to and potentially of greater diversity than Ppal but it remains likely that the specific functions of the genes determine each species’ unique characteristics as pathogens."																				
2017	"Baldi, Ada; Pandolfi, Camilla; Mancuso, Stefano; Lenzi, Anna"	A leaf-based back propagation neural network for oleander (Nerium oleander L.) cultivar identification	Images	DNN	Classification	Computers and Electronics in Agriculture	142		515-520	10.1016/j.compag.2017.11.021	https://www.sciencedirect.com/science/article/pii/S0168169917310906	"Oleander (Nerium oleander L.) includes many cultivars differing for the combination of a high number of characters, therefore their identification is difficult and time consuming. Nomenclature is often inaccurate and not uniform and the commercialization of material under unreliable names or even without name but stating only flower colour and type is frequent. In this paper, a Backpropagation Neural Network (BPNN) based on the image analysis of oleander leaves was developed as support tool for cultivar identification. It was built using 18 morphometric and colorimetric leaf parameters of 880 leaves collected from 22 cultivars (40 leaves per cultivar). The model resulted to be an efficient, reliable, and rapid method for distinguishing genotypes. The percentage of leaves attributed to the correct class reached 97.50% considering the single cultivars, and 54.55% on the total of the analysed leaves. Twenty-one cultivars were identified with certainty, and similarities in leaf morphology between some genotypes were highlighted, too. The method requires care in the choice of the leaves, which must be healthy and well-developed, but it is objective and, being oleander an evergreen species, not season-dependent. The model could be implemented in efficiency by introducing more leaf parameters, or in speed and computer performance by selecting the most representative. In fact, a smaller BPNN based on eight selected leaf parameters resulted slightly less sensitive (45.45% of the leaves attributed to the correct cultivar) but faster (4.4_s vs 7.7_s using a standard computer), and it could be used for very numerous collections."																				
2017	"Barré, Pierre; Stöver, Ben C.; Müller, Kai F.; Steinhage, Volker"	LeafNet: A computer vision system for automatic plant species identification	Images	CNN	Classification	Ecological Informatics	40		50-56	10.1016/j.ecoinf.2017.05.005	https://linkinghub.elsevier.com/retrieve/pii/S1574954116302515	"Aims: Taxon identification is an important step in many plant ecological studies. Its efficiency and reproducibility might greatly benefit from partly automating this task. Image-based identification systems exist, but mostly rely on hand-crafted algorithms to extract sets of features chosen a priori to identify species of selected taxa. In consequence, such systems are restricted to these taxa and additionally require involving experts that provide taxonomical knowledge for developing such customized systems. The aim of this study was to develop a deep learning system to learn discriminative features from leaf images along with a classifier for species identification of plants. By comparing our results with customized systems like LeafSnap we can show that learning the features by a convolutional neural network (CNN) can provide better feature representation for leaf images compared to hand-crafted features. Methods: We developed LeafNet, a CNN-based plant identification system. For evaluation, we utilized the publicly available LeafSnap, Flavia and Foliage datasets. Results: Evaluating the recognition accuracies of LeafNet on the LeafSnap, Flavia and Foliage datasets reveals a better performance of LeafNet compared to hand-crafted customized systems. Conclusions: Given the overall species diversity of plants, the goal of a complete automatisation of visual plant species identification is unlikely to be met solely by continually gathering assemblies of customized, specialized and hand-crafted (and therefore expensive) identification systems. Deep Learning CNN approaches offer a self-learning state-of-the-art alternative that allows adaption to different taxa just by presenting new training data instead of developing new software systems."																				
2017	"Bo_a, Vladimír; Brejová, Bro_a; Vina_, Tomá_"	DeepNano: Deep recurrent neural networks for base calling in MinION nanopore reads	Molecular	RNN	Classification	PLOS ONE	12	6	e0178751	10.1371/journal.pone.0178751	https://dx.plos.org/10.1371/journal.pone.0178751	"The MinION device by Oxford Nanopore produces very long reads (reads over 100 kBp were reported); however it suffers from high sequencing error rate. We present an open-source DNA base caller based on deep recurrent neural networks and show that the accuracy of base calling is much dependent on the underlying software and can be improved by considering modern machine learning methods. By employing carefully crafted recurrent neural networks, our tool significantly improves base calling accuracy on data from R7.3 version of the platform compared to the default base caller supplied by the manufacturer. On R9 version, we achieve results comparable to Nanonet base caller provided by Oxford Nanopore. Availability of an open source tool with high base calling accuracy will be useful for development of new applications of the MinION device, including infectious disease detection and custom target enrichment during sequencing."																				
2017	"Cantrell, Bradley; Martin, Laura J.; Ellis, Erle C."	Designing Autonomy: Opportunities for New Wildness in the Anthropocene	NA	NA	Review	Trends in Ecology & Evolution	32	3	156-166	10.1016/j.tree.2016.12.004	https://linkinghub.elsevier.com/retrieve/pii/S0169534716302373	"Maintaining wild places increasingly involves intensive human interventions. Several recent projects use semi-automated mediating technologies to enact conservation and restoration actions, including re-seeding and invasive species eradication. Could a deep-learning system sustain the autonomy of nonhuman ecological processes at designated sites without direct human interventions? We explore here the prospects for automated curation of wild places, as well as the technical and ethical questions that such co-creation poses for ecologists, conservationists, and designers. Our goal is to foster innovative approaches to creating and maintaining the autonomy of evolving ecological systems."																				
2017	"Carranza-Rojas, Jose; Goeau, Herve; Bonnet, Pierre; Mata-Montero, Erick; Joly, Alexis"	Going deeper in the automated identification of Herbarium specimens	Images	CNN	Classification	BMC Evolutionary Biology	17	1	181	10.1186/s12862-017-1014-z	http://bmcevolbiol.biomedcentral.com/articles/10.1186/s12862-017-1014-z	"Background: Hundreds of herbarium collections have accumulated a valuable heritage and knowledge of plants over several centuries. Recent initiatives started ambitious preservation plans to digitize this information and make it available to botanists and the general public through web portals. However, thousands of sheets are still unidentified at the species level while numerous sheets should be reviewed and updated following more recent taxonomic knowledge. These annotations and revisions require an unrealistic amount of work for botanists to carry out in a reasonable time. Computer vision and machine learning approaches applied to herbarium sheets are promising but are still not well studied compared to automated species identification from leaf scans or pictures of plants in the field. Results: In this work, we propose to study and evaluate the accuracy with which herbarium images can be potentially exploited for species identification with deep learning technology. In addition, we propose to study if the combination of herbarium sheets with photos of plants in the field is relevant in terms of accuracy, and finally, we explore if herbarium images from one region that has one specific flora can be used to do transfer learning to another region with other species; for example, on a region under-represented in terms of collected data. Conclusions: This is, to our knowledge, the first study that uses deep learning to analyze a big dataset with thousands of species from herbaria. Results show the potential of Deep Learning on herbarium species identification, particularly by training and testing across different datasets from different herbaria. This could potentially lead to the creation of a semi, or even fully automated system to help taxonomists and experts with their annotation, classification, and revision works."																				
2017	"Cheng, Xi; Zhang, You-Hua; Wu, Yun-Zhi; Yue, Yi"	Agricultural Pests Tracking and Identification in Video Surveillance Based on Deep Learning	Images	CNN	Classification	Intelligent Computing Methodologies	10363		58-70	10.1007/978-3-319-63315-2_6	http://link.springer.com/10.1007/978-3-319-63315-2_6	"Agricultural pests can cause serious damage to crops and need to be identified during the agricultural pest prevention and control process. In comparison with the low-speed and inefficient artificial identification method, it is important to develop a fast and reliable method for identifying agricultural pests based on computer vision. Aiming at the problem of agricultural pest identification in complex farmland environment, a recognition method through deep learning is proposed. The method could recognize and track the agricultural pests in surveillance videos of farmlands by using deep convolutional neural network and Faster R-CNN models. Compared with the traditional machine learning methods, this method has higher recognition accuracy in high background noise, and it can still effectively recognize agricultural pests with protective colorations. Therefore, compared with the current agricultural pest static-image recognition method, this method has a higher practical value and can be put into the actual agricultural production environment with the agricultural networking technology."																				
2017	"Cheng, Xi; Zhang, Youhua; Chen, Yiqiong; Wu, Yunzhi; Yue, Yi"	Pest identification via deep residual learning in complex background	Images	CNN	Classification	Computers and Electronics in Agriculture	141		351-356	10.1016/j.compag.2017.08.005	https://linkinghub.elsevier.com/retrieve/pii/S0168169917304854	"Agricultural pests severely affect both agricultural production and the storage of crops. To prevent damage caused by agricultural pests, the pest category needs to be correctly identified and targeted control measures need to be taken; therefore, it is important to develop an agricultural pest identification system based on computer vision technology. To achieve pest identification with the complex farmland background, a pest identification method is proposed that uses deep residual learning. Compared to support vector machine and traditional BP neural networks, the pest image recognition accuracy of this method is noticeably improved in the complex farmland background. Furthermore, in comparison to plain deep convolutional neural networks such as Alexnet, the recognition performance in this method was further improved after optimized by deep residual learning. A classification accuracy of 98.67% for 10 classes of crop pest images with complex farmland background was achieved. Accordingly, the method has a high value of practical application, and can be integrated with currently used agricultural networking systems into actual agricultural pest control tasks."																				
2017	"Chessa, Stefano; Micheli, Alessio; Pucci, Rita; Hunter, Jane; Carroll, Gemma; Harcourt, Rob"	A Comparative Analysis of SVM and IDNN for Identifying Penguin Activities	Other	Other	Classification	Applied Artificial Intelligence	31	6-May	453-471	10.1080/08839514.2017.1378162	https://doi.org/10.1080/08839514.2017.1378162	"Where, when and how much animals eat provide valuable insights into their ecology. In this paper, we present a comparative analysis between Support Vector Machine (SVM) and Input Delay Neural Network (IDNN) models to identify prey capture events from penguin accelerometry data. A pre-classified dataset of 3D time-series data from back-mounted accelerometers was used. We trained both the models to classify the penguins’ behavior at intervals as either ‘prey handling’ or ‘swimming’. The aim was to determine whether IDNN could achieve the same level of classification accuracy as SVM, but with reduced memory demands. This would enable the IDNN model to be embedded on the accelerometer micro-system itself, and hence reduce the magnitude of the output data to be uploaded. Based on the classification results, this paper provides an analysis of the two models from both an accuracy and applicability point of view. The experimental results show that both models achieve an equivalent accuracy of approx. 85% using the featured data, with a memory demand of 0.5 kB for IDNN and 0.7 Mb for SVM. The raw accelerometer data let us improve the generalizability of the models with a slightly lower accuracy to around 80%. This indicates that the IDNN model can embed on the accelerometer itself, reducing problems associated with raw time-series data retrieval and loss."																				
2017	"Chicco, Davide"	Ten quick tips for machine learning in computational biology	NA	NA	Review	BioData Mining	10	1	35	10.1186/s13040-017-0155-3	https://doi.org/10.1186/s13040-017-0155-3	"Machine learning has become a pivotal tool for many projects in computational biology, bioinformatics, and health informatics. Nevertheless, beginners and biomedical researchers often do not have enough experience to run a data mining project effectively, and therefore can follow incorrect practices, that may lead to common mistakes or over-optimistic results. With this review, we present ten quick tips to take advantage of machine learning in any computational biology context, by avoiding some common errors that we observed hundreds of times in multiple bioinformatics projects. We believe our ten suggestions can strongly help any machine learning practitioner to carry on a successful project in computational biology and related sciences."																				
2017	"Dobrescu, Andrei; Giuffrida, Mario Valerio; Tsaftaris, Sotirios A."	Leveraging multiple datasets for deep leaf counting	Images	CNN	Classification	arXiv:1709.01472 [cs]				10.48550/arXiv.1709.01472	http://arxiv.org/abs/1709.01472	"The number of leaves a plant has is one of the key traits (phenotypes) describing its development and growth. Here, we propose an automated, deep learning based approach for counting leaves in model rosette plants. While state-of-the-art results on leaf counting with deep learning methods have recently been reported, they obtain the count as a result of leaf segmentation and thus require per-leaf (instance) segmentation to train the models (a rather strong annotation). Instead, our method treats leaf counting as a direct regression problem and thus only requires as annotation the total leaf count per plant. We argue that combining different datasets when training a deep neural network is beneficial and improves the results of the proposed approach. We evaluate our method on the CVPPP 2017 Leaf Counting Challenge dataset, which contains images of Arabidopsis and tobacco plants. Experimental results show that the proposed method significantly outperforms the winner of the previous CVPPP challenge, improving the results by a minimum of ~50% on each of the test datasets, and can achieve this performance without knowing the experimental origin of the data (i.e. in the wild setting of the challenge). We also compare the counting accuracy of our model with that of per leaf segmentation algorithms, achieving a 20% decrease in mean absolute difference in count (|DiC|)."																				
2017	"Esteban, Luis G.; de Palacios, Paloma; Conde, María; Fernández, Francisco G.; García-Iruela, Alberto; González-Alonso, Marta"	Application of artificial neural networks as a predictive method to differentiate the wood of Pinus sylvestris L. and Pinus nigra Arn subsp. salzmannii (Dunal) Franco	Other	DNN	Classification	Wood Science and Technology	51	5	1249-1258	10.1007/s00226-017-0932-7	https://doi.org/10.1007/s00226-017-0932-7	"The wood structure of conifers in general and the Pinus genus in particular makes species differentiation by traditional qualitative or quantitative methods complicated or even impossible at times. Pinus sylvestris L. and Pinus nigra Arn subsp. salzmannii (Dunal) Franco are a clear example of this because they cannot be differentiated by traditional methods. However, correctly identifying these species is very important in some cases as they are extensively used in a large variety of fields because of their wide distribution range in the forests of Europe and Asia. Using trees selected from the same forest to minimise the influence of site and performing a biometric study of 10 growth rings from the same climate period, a feedforward multilayer perceptron network trained by the resilient backpropagation algorithm was designed to determine whether the network could be used to differentiate these species with a high degree of probability. The artificial neural network achieved 90.4% accuracy in the training set, 81.6% in the validation set and 81.2% in the testing set. This result justifies the use of this tool for wood identification at anatomical level."																				
